id,address,city,state,phone_number,is_subscribed,created_at,updated_at,user_id
45,3 Arizona Park,Montgomery,Alabama,3343084457,f,2022-12-07 00:00:00+05:30,2022-12-10 00:00:00+05:30,45
46,03102 Forster Point,Montgomery,Alabama,3344753379,f,2023-01-29 00:00:00+05:30,2022-06-19 00:00:00+05:30,46
47,77399 Fieldstone Circle,Birmingham,Alabama,2053970718,f,2022-12-09 00:00:00+05:30,2022-08-07 00:00:00+05:30,47
48,1 Summit Lane,Anniston,Alabama,2564328846,f,2022-06-16 00:00:00+05:30,2022-11-03 00:00:00+05:30,48
49,395 Ilene Lane,Tuscaloosa,Alabama,2053939674,f,2022-05-04 00:00:00+05:30,2022-10-24 00:00:00+05:30,49
50,3397 Morning Center,Montgomery,Alabama,3343732454,f,2022-11-15 00:00:00+05:30,2022-07-21 00:00:00+05:30,50
51,975 American Ash Parkway,Gadsden,Alabama,2561385140,t,2023-03-06 00:00:00+05:30,2022-05-09 00:00:00+05:30,51
52,385 Coolidge Street,Anniston,Alabama,2561132306,t,2023-03-01 00:00:00+05:30,2022-09-03 00:00:00+05:30,52
53,6 Garrison Plaza,Huntsville,Alabama,2561691059,t,2022-10-10 00:00:00+05:30,2022-05-15 00:00:00+05:30,53
54,07630 Corry Court,Birmingham,Alabama,2058277985,t,2022-11-06 00:00:00+05:30,2022-10-18 00:00:00+05:30,54
55,0 Acker Point,Birmingham,Alabama,2052954007,f,2022-03-23 00:00:00+05:30,2022-08-30 00:00:00+05:30,55
56,4517 Caliangt Hill,Mobile,Alabama,2515092794,f,2022-08-30 00:00:00+05:30,2022-07-14 00:00:00+05:30,56
57,6 Hoepker Center,Montgomery,Alabama,3349453483,f,2022-10-14 00:00:00+05:30,2023-03-03 00:00:00+05:30,57
58,17998 Dottie Court,Birmingham,Alabama,2053369817,f,2022-05-09 00:00:00+05:30,2022-07-21 00:00:00+05:30,58
59,74 Logan Road,Birmingham,Alabama,2052870930,f,2022-03-13 00:00:00+05:30,2022-09-06 00:00:00+05:30,59
60,64 Acker Avenue,Huntsville,Alabama,2564754948,t,2022-12-24 00:00:00+05:30,2022-04-24 00:00:00+05:30,60
61,8 Mcguire Park,Montgomery,Alabama,3345298696,f,2022-11-25 00:00:00+05:30,2023-01-27 00:00:00+05:30,61
62,96 Ridgeway Point,Birmingham,Alabama,2058660630,t,2022-12-02 00:00:00+05:30,2023-01-16 00:00:00+05:30,62
63,33078 Monterey Circle,Huntsville,Alabama,2569102896,f,2022-09-24 00:00:00+05:30,2022-12-05 00:00:00+05:30,63
64,240 Springs Way,Huntsville,Alabama,2568001855,t,2022-11-05 00:00:00+05:30,2023-02-16 00:00:00+05:30,64
65,35 Sutherland Alley,Huntsville,Alabama,2568211644,f,2022-04-10 00:00:00+05:30,2022-03-19 00:00:00+05:30,65
66,28 Farragut Center,Mobile,Alabama,2512255882,t,2022-06-18 00:00:00+05:30,2023-02-26 00:00:00+05:30,66
67,97586 Drewry Trail,Montgomery,Alabama,3342558372,t,2023-02-09 00:00:00+05:30,2022-10-06 00:00:00+05:30,67
68,20143 Hanover Parkway,Birmingham,Alabama,2055447943,t,2022-06-22 00:00:00+05:30,2022-11-16 00:00:00+05:30,68
69,21044 Browning Court,Mobile,Alabama,2511439728,t,2022-05-02 00:00:00+05:30,2022-08-18 00:00:00+05:30,69
70,5 Veith Street,Montgomery,Alabama,3348674877,f,2022-04-13 00:00:00+05:30,2022-12-08 00:00:00+05:30,70
71,3744 Esker Trail,Birmingham,Alabama,2059059933,t,2022-04-01 00:00:00+05:30,2022-08-15 00:00:00+05:30,71
72,448 Green Road,Birmingham,Alabama,2054792229,t,2022-04-11 00:00:00+05:30,2022-03-19 00:00:00+05:30,72
73,9 Meadow Valley Junction,Birmingham,Alabama,2054198055,f,2022-09-06 00:00:00+05:30,2023-03-05 00:00:00+05:30,73
74,98315 Sycamore Plaza,Mobile,Alabama,2511264351,t,2022-06-18 00:00:00+05:30,2022-07-13 00:00:00+05:30,74
75,7080 Loeprich Terrace,Mobile,Alabama,2515730944,t,2023-01-04 00:00:00+05:30,2022-08-29 00:00:00+05:30,75
76,96813 Dakota Pass,Birmingham,Alabama,2054110026,f,2022-04-27 00:00:00+05:30,2022-12-04 00:00:00+05:30,76
77,6209 Meadow Ridge Circle,Mobile,Alabama,2512850621,t,2022-05-15 00:00:00+05:30,2022-06-22 00:00:00+05:30,77
78,593 Badeau Circle,Birmingham,Alabama,2052824875,t,2022-10-10 00:00:00+05:30,2022-08-05 00:00:00+05:30,78
79,8 Blackbird Court,Anniston,Alabama,2564468732,t,2022-04-22 00:00:00+05:30,2022-08-26 00:00:00+05:30,79
80,331 La Follette Point,Montgomery,Alabama,3343845675,f,2022-05-17 00:00:00+05:30,2023-02-09 00:00:00+05:30,80
81,8 Scofield Circle,Mobile,Alabama,2516217736,f,2023-02-02 00:00:00+05:30,2022-09-13 00:00:00+05:30,81
82,95561 Center Point,Anniston,Alabama,2565227065,f,2022-11-14 00:00:00+05:30,2022-07-01 00:00:00+05:30,82
83,33940 Little Fleur Court,Mobile,Alabama,2516079200,f,2022-09-06 00:00:00+05:30,2022-08-22 00:00:00+05:30,83
84,76540 Mccormick Trail,Birmingham,Alabama,2052512091,t,2023-01-07 00:00:00+05:30,2022-11-30 00:00:00+05:30,84
85,1612 Trailsway Hill,Mobile,Alabama,2517224844,f,2022-04-20 00:00:00+05:30,2022-04-22 00:00:00+05:30,85
86,876 Golf Road,Birmingham,Alabama,3343014854,t,2022-10-14 00:00:00+05:30,2022-04-22 00:00:00+05:30,86
87,0 Manley Alley,Montgomery,Alabama,3343589550,t,2023-02-10 00:00:00+05:30,2023-01-02 00:00:00+05:30,87
88,59355 Mcguire Center,Birmingham,Alabama,3347484751,t,2022-08-25 00:00:00+05:30,2022-05-05 00:00:00+05:30,88
89,010 Bayside Street,Mobile,Alabama,2513765801,f,2022-08-09 00:00:00+05:30,2023-01-29 00:00:00+05:30,89
90,72 Warner Crossing,Montgomery,Alabama,3343141620,f,2022-11-30 00:00:00+05:30,2022-11-20 00:00:00+05:30,90
91,0 Judy Pass,Montgomery,Alabama,3348422505,t,2022-09-28 00:00:00+05:30,2023-03-08 00:00:00+05:30,91
92,6709 Tomscot Park,Huntsville,Alabama,2567357721,t,2022-11-30 00:00:00+05:30,2022-08-01 00:00:00+05:30,92
93,72 Dahle Hill,Huntsville,Alabama,2565480408,f,2022-08-20 00:00:00+05:30,2022-05-31 00:00:00+05:30,93
94,85 Victoria Alley,Mobile,Alabama,2517888537,t,2023-02-22 00:00:00+05:30,2023-01-28 00:00:00+05:30,94
95,1 Shelley Trail,Montgomery,Alabama,3342189933,f,2023-01-01 00:00:00+05:30,2023-01-28 00:00:00+05:30,95
96,75239 Leroy Way,Gadsden,Alabama,2566946492,f,2022-03-11 00:00:00+05:30,2023-03-07 00:00:00+05:30,96
97,54 Sullivan Lane,Montgomery,Alabama,3346093955,f,2022-05-25 00:00:00+05:30,2022-05-27 00:00:00+05:30,97
98,6047 Thackeray Crossing,Montgomery,Alabama,3343241455,t,2023-03-06 00:00:00+05:30,2023-01-26 00:00:00+05:30,98
99,6108 Pond Junction,Mobile,Alabama,2512998245,t,2022-10-24 00:00:00+05:30,2022-08-02 00:00:00+05:30,99
100,99 Arizona Crossing,Birmingham,Alabama,2051303128,t,2023-03-02 00:00:00+05:30,2022-10-05 00:00:00+05:30,100
101,9 Judy Trail,Mobile,Alabama,2512703323,f,2022-07-29 00:00:00+05:30,2022-07-04 00:00:00+05:30,101
102,2 Manufacturers Street,Tuscaloosa,Alabama,2057309399,t,2022-07-18 00:00:00+05:30,2022-03-14 00:00:00+05:30,102
103,306 Oakridge Circle,Huntsville,Alabama,2567016154,f,2022-07-18 00:00:00+05:30,2022-12-18 00:00:00+05:30,103
104,2 Continental Drive,Montgomery,Alabama,3341623686,f,2022-03-19 00:00:00+05:30,2022-08-28 00:00:00+05:30,104
105,6 Bluestem Way,Montgomery,Alabama,3342967038,t,2023-01-17 00:00:00+05:30,2022-03-26 00:00:00+05:30,105
106,80530 Dakota Lane,Montgomery,Alabama,3347446568,f,2023-02-26 00:00:00+05:30,2022-08-24 00:00:00+05:30,106
107,95734 Hintze Avenue,Huntsville,Alabama,2569355375,t,2023-01-18 00:00:00+05:30,2022-05-20 00:00:00+05:30,107
108,320 Algoma Drive,Birmingham,Alabama,2056950436,t,2022-04-04 00:00:00+05:30,2023-01-17 00:00:00+05:30,108
109,3 Debs Point,Birmingham,Alabama,2052509213,f,2022-12-12 00:00:00+05:30,2022-08-22 00:00:00+05:30,109
110,0850 Anhalt Lane,Montgomery,Alabama,3346019903,f,2022-07-12 00:00:00+05:30,2022-05-10 00:00:00+05:30,110
111,47 Nancy Crossing,Birmingham,Alabama,2055156597,t,2022-06-27 00:00:00+05:30,2022-03-24 00:00:00+05:30,111
112,5055 Clarendon Drive,Montgomery,Alabama,3342077341,f,2022-08-29 00:00:00+05:30,2022-12-13 00:00:00+05:30,112
113,209 Golf Road,Mobile,Alabama,2514247002,t,2022-05-13 00:00:00+05:30,2022-07-06 00:00:00+05:30,113
114,78371 Northwestern Court,Mobile,Alabama,2516304263,f,2022-04-13 00:00:00+05:30,2022-08-04 00:00:00+05:30,114
115,16 Mendota Lane,Montgomery,Alabama,3349382390,t,2022-03-15 00:00:00+05:30,2022-03-13 00:00:00+05:30,115
116,88 Victoria Street,Mobile,Alabama,2513059535,t,2022-12-13 00:00:00+05:30,2022-04-19 00:00:00+05:30,116
117,40142 Marcy Terrace,Montgomery,Alabama,3345940833,t,2022-08-08 00:00:00+05:30,2022-04-17 00:00:00+05:30,117
118,799 Longview Alley,Mobile,Alabama,2519221086,t,2022-04-02 00:00:00+05:30,2022-12-13 00:00:00+05:30,118
119,73986 Maryland Park,Montgomery,Alabama,3344176427,t,2022-12-28 00:00:00+05:30,2023-02-11 00:00:00+05:30,119
120,0617 Fordem Street,Birmingham,Alabama,2056884968,f,2022-06-21 00:00:00+05:30,2022-10-29 00:00:00+05:30,120
121,1961 Hallows Drive,Montgomery,Alabama,3349225836,t,2023-03-02 00:00:00+05:30,2022-11-24 00:00:00+05:30,121
122,69090 Swallow Way,Mobile,Alabama,2513165648,t,2022-05-06 00:00:00+05:30,2022-04-30 00:00:00+05:30,122
123,37 Summer Ridge Place,Gadsden,Alabama,2561549415,f,2022-05-16 00:00:00+05:30,2022-05-31 00:00:00+05:30,123
124,830 Harper Plaza,Birmingham,Alabama,2055645260,t,2022-07-27 00:00:00+05:30,2022-12-03 00:00:00+05:30,124
125,02 Westerfield Terrace,Tuscaloosa,Alabama,2055851005,t,2022-08-28 00:00:00+05:30,2022-07-02 00:00:00+05:30,125
126,67 Grover Circle,Montgomery,Alabama,3344538612,t,2022-10-29 00:00:00+05:30,2022-12-11 00:00:00+05:30,126
127,8222 Evergreen Circle,Montgomery,Alabama,3342881552,f,2023-02-26 00:00:00+05:30,2022-11-21 00:00:00+05:30,127
128,6 Ramsey Parkway,Birmingham,Alabama,2056606886,f,2022-06-22 00:00:00+05:30,2022-09-07 00:00:00+05:30,128
129,9702 Utah Plaza,Birmingham,Alabama,2057565727,t,2022-12-23 00:00:00+05:30,2022-12-05 00:00:00+05:30,129
130,2563 Talisman Junction,Birmingham,Alabama,2053047715,f,2022-12-10 00:00:00+05:30,2022-10-23 00:00:00+05:30,130
131,341 Pawling Drive,Mobile,Alabama,2512192098,f,2022-03-27 00:00:00+05:30,2022-11-16 00:00:00+05:30,131
132,6795 Gulseth Circle,Montgomery,Alabama,3347589109,t,2022-12-14 00:00:00+05:30,2022-09-30 00:00:00+05:30,132
133,8 Sage Plaza,Birmingham,Alabama,2053145662,t,2022-12-30 00:00:00+05:30,2022-12-20 00:00:00+05:30,133
134,1 Pepper Wood Trail,Anniston,Alabama,2567659266,t,2022-10-18 00:00:00+05:30,2022-11-23 00:00:00+05:30,134
135,47 Truax Place,Montgomery,Alabama,3341567180,t,2022-11-16 00:00:00+05:30,2022-12-20 00:00:00+05:30,135
136,3 Blue Bill Park Avenue,Mobile,Alabama,2516204997,t,2022-12-06 00:00:00+05:30,2022-11-30 00:00:00+05:30,136
137,836 Buell Terrace,Birmingham,Alabama,3345575871,f,2022-06-10 00:00:00+05:30,2022-03-27 00:00:00+05:30,137
138,7 Elmside Lane,Gadsden,Alabama,2567673552,t,2022-09-27 00:00:00+05:30,2022-08-26 00:00:00+05:30,138
139,040 Eliot Court,Birmingham,Alabama,2057301194,t,2023-01-16 00:00:00+05:30,2022-10-31 00:00:00+05:30,139
140,8 Red Cloud Avenue,Birmingham,Alabama,2051137860,t,2023-01-10 00:00:00+05:30,2022-09-14 00:00:00+05:30,140
141,6 Evergreen Street,Montgomery,Alabama,3348980278,t,2023-02-03 00:00:00+05:30,2022-12-21 00:00:00+05:30,141
142,17596 Prentice Junction,Tuscaloosa,Alabama,2051229820,f,2022-08-28 00:00:00+05:30,2022-12-04 00:00:00+05:30,142
143,858 Chinook Drive,Montgomery,Alabama,3343140324,t,2022-07-01 00:00:00+05:30,2022-09-29 00:00:00+05:30,143
144,64 Warrior Park,Montgomery,Alabama,3341937499,f,2022-03-24 00:00:00+05:30,2022-11-12 00:00:00+05:30,144
145,23 Fieldstone Street,Mobile,Alabama,2514610606,f,2022-09-11 00:00:00+05:30,2022-12-18 00:00:00+05:30,145
146,57 Boyd Parkway,Huntsville,Alabama,2569399094,t,2022-09-23 00:00:00+05:30,2023-01-26 00:00:00+05:30,146
147,41 Oneill Plaza,Mobile,Alabama,2518465508,t,2022-03-11 00:00:00+05:30,2022-03-21 00:00:00+05:30,147
148,57560 Logan Circle,Huntsville,Alabama,2562172772,t,2022-05-23 00:00:00+05:30,2022-06-20 00:00:00+05:30,148
149,9917 Almo Road,Montgomery,Alabama,3344673838,t,2022-09-10 00:00:00+05:30,2022-08-30 00:00:00+05:30,149
150,4 Lakeland Avenue,Mobile,Alabama,2519817365,t,2022-06-08 00:00:00+05:30,2022-08-15 00:00:00+05:30,150
151,00 Spohn Park,Birmingham,Alabama,2053308092,f,2022-11-12 00:00:00+05:30,2022-08-16 00:00:00+05:30,151
152,094 Moulton Point,Birmingham,Alabama,2057637959,t,2022-05-02 00:00:00+05:30,2022-05-29 00:00:00+05:30,152
153,86299 Lighthouse Bay Center,Montgomery,Alabama,3341356813,f,2022-11-15 00:00:00+05:30,2022-06-28 00:00:00+05:30,153
154,120 Messerschmidt Hill,Birmingham,Alabama,2056075306,f,2022-08-13 00:00:00+05:30,2023-02-19 00:00:00+05:30,154
155,186 Menomonie Circle,Birmingham,Alabama,2054459655,t,2022-12-09 00:00:00+05:30,2022-12-30 00:00:00+05:30,155
156,41762 Judy Road,Huntsville,Alabama,2567504495,t,2022-05-03 00:00:00+05:30,2022-09-08 00:00:00+05:30,156
157,016 Gerald Way,Anniston,Alabama,2566795444,f,2022-08-17 00:00:00+05:30,2022-03-12 00:00:00+05:30,157
158,2 American Street,Birmingham,Alabama,2055641624,t,2022-10-13 00:00:00+05:30,2022-05-18 00:00:00+05:30,158
159,2478 Autumn Leaf Pass,Birmingham,Alabama,2051039553,f,2022-08-09 00:00:00+05:30,2022-05-23 00:00:00+05:30,159
160,669 Rusk Drive,Birmingham,Alabama,2053186706,t,2022-07-15 00:00:00+05:30,2022-03-20 00:00:00+05:30,160
161,6 Mosinee Road,Montgomery,Alabama,3348617233,f,2022-09-08 00:00:00+05:30,2023-02-26 00:00:00+05:30,161
162,074 Jenna Drive,Birmingham,Alabama,2056704699,t,2022-10-16 00:00:00+05:30,2022-05-29 00:00:00+05:30,162
163,18433 1st Street,Mobile,Alabama,2513201488,t,2022-07-06 00:00:00+05:30,2022-08-14 00:00:00+05:30,163
164,8017 Ruskin Trail,Birmingham,Alabama,2056943779,t,2022-05-17 00:00:00+05:30,2022-03-14 00:00:00+05:30,164
165,03 Kim Crossing,Gadsden,Alabama,2561827462,t,2022-06-25 00:00:00+05:30,2022-12-19 00:00:00+05:30,165
166,9 Golden Leaf Way,Huntsville,Alabama,2566141773,t,2022-06-17 00:00:00+05:30,2022-05-31 00:00:00+05:30,166
167,11 Bashford Way,Mobile,Alabama,2512900353,t,2022-09-24 00:00:00+05:30,2022-08-10 00:00:00+05:30,167
168,15427 Ruskin Road,Montgomery,Alabama,3343987951,t,2022-07-11 00:00:00+05:30,2022-11-09 00:00:00+05:30,168
169,4 Hazelcrest Terrace,Birmingham,Alabama,2057605287,f,2022-11-22 00:00:00+05:30,2023-03-02 00:00:00+05:30,169
170,00 Merry Alley,Huntsville,Alabama,2569047854,f,2022-12-09 00:00:00+05:30,2022-08-02 00:00:00+05:30,170
171,1889 Eliot Place,Birmingham,Alabama,2055242634,t,2022-08-15 00:00:00+05:30,2022-07-17 00:00:00+05:30,171
172,648 Hoffman Terrace,Tuscaloosa,Alabama,2054436843,f,2022-12-14 00:00:00+05:30,2022-03-29 00:00:00+05:30,172
173,5016 Badeau Court,Mobile,Alabama,2513591723,t,2023-02-01 00:00:00+05:30,2022-08-07 00:00:00+05:30,173
174,430 3rd Drive,Tuscaloosa,Alabama,2059333242,t,2022-06-30 00:00:00+05:30,2022-03-28 00:00:00+05:30,174
175,03793 Lyons Crossing,Birmingham,Alabama,2053511203,t,2022-08-25 00:00:00+05:30,2023-02-02 00:00:00+05:30,175
176,69 Hoepker Plaza,Mobile,Alabama,2512530644,f,2022-04-28 00:00:00+05:30,2022-08-15 00:00:00+05:30,176
177,3 Shelley Hill,Huntsville,Alabama,2568516329,f,2022-12-12 00:00:00+05:30,2022-07-16 00:00:00+05:30,177
178,6 Corben Junction,Birmingham,Alabama,2052628673,f,2023-02-16 00:00:00+05:30,2022-08-15 00:00:00+05:30,178
179,5531 Sutherland Court,Montgomery,Alabama,3346351348,f,2023-02-19 00:00:00+05:30,2022-06-27 00:00:00+05:30,179
180,73838 Bashford Junction,Birmingham,Alabama,2053830068,t,2022-08-16 00:00:00+05:30,2022-03-12 00:00:00+05:30,180
181,23821 Lawn Circle,Birmingham,Alabama,2054884980,f,2022-03-25 00:00:00+05:30,2022-10-18 00:00:00+05:30,181
182,7881 Oak Road,Birmingham,Alabama,2052155771,t,2022-09-22 00:00:00+05:30,2023-02-15 00:00:00+05:30,182
183,024 Michigan Lane,Birmingham,Alabama,2055121122,f,2022-08-10 00:00:00+05:30,2022-09-06 00:00:00+05:30,183
184,1 Reinke Pass,Mobile,Alabama,2515362448,f,2022-11-05 00:00:00+05:30,2022-12-24 00:00:00+05:30,184
185,252 Vera Junction,Mobile,Alabama,2519159160,t,2022-06-26 00:00:00+05:30,2022-12-25 00:00:00+05:30,185
186,1191 Warbler Plaza,Birmingham,Alabama,2056740892,f,2022-04-24 00:00:00+05:30,2022-03-16 00:00:00+05:30,186
187,4951 East Park,Huntsville,Alabama,2566873370,f,2022-10-01 00:00:00+05:30,2023-01-29 00:00:00+05:30,187
188,14 Chive Plaza,Huntsville,Alabama,2565579064,f,2022-03-30 00:00:00+05:30,2022-06-21 00:00:00+05:30,188
189,322 Ridge Oak Avenue,Birmingham,Alabama,2051221357,t,2022-08-25 00:00:00+05:30,2022-12-13 00:00:00+05:30,189
190,07488 Carioca Trail,Mobile,Alabama,2511779495,f,2022-11-08 00:00:00+05:30,2022-07-31 00:00:00+05:30,190
191,427 Anhalt Junction,Mobile,Alabama,2513215398,t,2022-09-09 00:00:00+05:30,2023-01-05 00:00:00+05:30,191
192,41 South Place,Birmingham,Alabama,2055258556,f,2022-05-09 00:00:00+05:30,2023-02-15 00:00:00+05:30,192
193,57738 Burning Wood Road,Mobile,Alabama,2519402990,t,2022-03-23 00:00:00+05:30,2022-09-21 00:00:00+05:30,193
194,3854 Old Gate Lane,Tuscaloosa,Alabama,2051953865,t,2022-11-12 00:00:00+05:30,2022-08-14 00:00:00+05:30,194
195,926 Drewry Road,Birmingham,Alabama,2053542374,t,2022-11-24 00:00:00+05:30,2022-06-19 00:00:00+05:30,195
196,0206 Fairview Avenue,Mobile,Alabama,2518214293,t,2022-11-14 00:00:00+05:30,2023-01-23 00:00:00+05:30,196
197,9 Merchant Alley,Montgomery,Alabama,3349551110,t,2023-01-08 00:00:00+05:30,2022-05-24 00:00:00+05:30,197
198,4 Artisan Lane,Montgomery,Alabama,3347455300,f,2022-12-26 00:00:00+05:30,2022-11-21 00:00:00+05:30,198
199,33 Lakeland Avenue,Birmingham,Alabama,2053488523,f,2022-06-21 00:00:00+05:30,2022-10-07 00:00:00+05:30,199
200,78 Blackbird Road,Birmingham,Alabama,2059722222,t,2023-03-08 00:00:00+05:30,2023-02-07 00:00:00+05:30,200
201,9758 Swallow Park,Huntsville,Alabama,2569090727,t,2022-06-20 00:00:00+05:30,2022-08-12 00:00:00+05:30,201
202,20 Eagan Circle,Birmingham,Alabama,2058764109,f,2022-04-02 00:00:00+05:30,2022-12-29 00:00:00+05:30,202
203,21 Service Place,Huntsville,Alabama,2567403112,f,2023-01-16 00:00:00+05:30,2022-06-11 00:00:00+05:30,203
204,8882 Quincy Court,Montgomery,Alabama,3348661399,t,2022-09-04 00:00:00+05:30,2022-08-24 00:00:00+05:30,204
205,929 Arrowood Street,Birmingham,Alabama,2059759011,f,2023-02-04 00:00:00+05:30,2022-04-28 00:00:00+05:30,205
206,366 Derek Avenue,Mobile,Alabama,2513225219,t,2023-02-10 00:00:00+05:30,2022-08-14 00:00:00+05:30,206
207,36 Anderson Junction,Montgomery,Alabama,3344639628,t,2022-10-14 00:00:00+05:30,2022-08-25 00:00:00+05:30,207
208,31999 Laurel Junction,Tuscaloosa,Alabama,2055756269,f,2023-01-23 00:00:00+05:30,2022-06-29 00:00:00+05:30,208
209,9222 Duke Hill,Mobile,Alabama,2518694559,f,2023-01-07 00:00:00+05:30,2023-02-23 00:00:00+05:30,209
210,7 Loeprich Center,Birmingham,Alabama,2056659431,f,2022-07-28 00:00:00+05:30,2022-07-05 00:00:00+05:30,210
