id,transaction_id,utr_number,amount,payment_type,payment_date,updated_at,student_id,subscription_id
35,"",LI48 8566 2QD3 D8QD PXEM Q,633.00,OnlineBanking,2023-03-03 00:00:00+05:30,2022-11-11 00:00:00+05:30,269,4
36,"",FR12 6363 6518 75I4 K6EG HHAK Q20,718.00,DebitCard,2022-12-12 00:00:00+05:30,2022-11-14 00:00:00+05:30,684,2
37,"",SM82 L424 2784 861H DWRF JNLS 6OH,959.00,OnlineBanking,2023-02-12 00:00:00+05:30,2022-12-13 00:00:00+05:30,791,1
38,"",MU83 WUVB 8959 4852 5202 0361 173S VU,107.00,DebitCard,2022-12-01 00:00:00+05:30,2023-02-08 00:00:00+05:30,569,4
39,"",KZ54 244P 9ORY KOKJ AHCZ,686.00,DebitCard,2022-04-03 00:00:00+05:30,2022-09-21 00:00:00+05:30,553,2
40,"",HU38 6841 9239 3420 2561 1838 7501,758.00,UPI,2022-11-25 00:00:00+05:30,2022-11-16 00:00:00+05:30,253,2
41,"",AD37 1252 9337 K3TE 9MCD LIJA,516.00,OnlineBanking,2023-02-03 00:00:00+05:30,2022-04-22 00:00:00+05:30,28,2
42,"",TN62 2089 2900 9142 0845 3969,152.00,OnlineBanking,2022-09-29 00:00:00+05:30,2022-10-21 00:00:00+05:30,173,1
43,"",BH91 FQGK S8VA KW7U LZCK TT,540.00,OnlineBanking,2023-01-24 00:00:00+05:30,2022-10-16 00:00:00+05:30,272,3
44,"",BA07 2128 4345 2434 8818,547.00,OnlineBanking,2022-09-30 00:00:00+05:30,2022-05-10 00:00:00+05:30,212,4
45,"",FR27 0093 3630 85BV 61TB AHNH S97,599.00,CreditCard,2022-03-22 00:00:00+05:30,2022-05-22 00:00:00+05:30,767,2
46,"",TN32 1211 4617 3911 7339 2546,194.00,DebitCard,2022-05-23 00:00:00+05:30,2022-05-01 00:00:00+05:30,142,2
47,"",FO95 4379 8236 4535 31,769.00,UPI,2022-10-29 00:00:00+05:30,2022-03-15 00:00:00+05:30,974,1
48,"",TR89 4899 5MJG 5KYL NMJ8 W9RO JY,932.00,CreditCard,2022-12-22 00:00:00+05:30,2022-08-29 00:00:00+05:30,897,2
49,"",CY79 1011 9938 5WJC 0CN9 ZXTS 7HUY,821.00,OnlineBanking,2022-11-25 00:00:00+05:30,2022-09-18 00:00:00+05:30,757,2
50,"",FI74 0465 7082 7665 14,583.00,DebitCard,2022-07-20 00:00:00+05:30,2023-01-09 00:00:00+05:30,961,3
51,"",FR08 8419 6234 37B1 2THK L32T Z75,986.00,DebitCard,2022-09-05 00:00:00+05:30,2022-03-31 00:00:00+05:30,151,5
52,"",GE25 ZE34 2910 7141 2899 03,419.00,OnlineBanking,2022-05-04 00:00:00+05:30,2022-10-08 00:00:00+05:30,449,3
53,"",GE74 AZ83 1598 3262 3689 71,851.00,OnlineBanking,2022-07-25 00:00:00+05:30,2022-04-06 00:00:00+05:30,343,1
54,"",FR37 6437 7995 37R6 QDMV D9TB Y62,144.00,DebitCard,2023-01-31 00:00:00+05:30,2022-07-05 00:00:00+05:30,371,4
55,"",BG73 IQMC 5836 80K4 MYBM BU,234.00,UPI,2022-08-24 00:00:00+05:30,2022-08-10 00:00:00+05:30,666,3
56,"",ME37 9824 4839 9453 2908 39,32.00,DebitCard,2022-08-27 00:00:00+05:30,2023-01-23 00:00:00+05:30,187,1
57,"",GE36 MB79 8562 5729 7610 43,391.00,DebitCard,2022-07-25 00:00:00+05:30,2022-07-18 00:00:00+05:30,451,1
58,"",MT07 MTNA 6945 1UZO GQZI GQSH JDVT 8O5,457.00,OnlineBanking,2022-05-06 00:00:00+05:30,2022-06-23 00:00:00+05:30,25,5
59,"",FR58 1182 0143 9974 PWQB WW7S 400,152.00,OnlineBanking,2022-03-30 00:00:00+05:30,2022-03-24 00:00:00+05:30,804,4
60,"",FR30 8828 5544 7884 43DB ZNRM F40,430.00,UPI,2022-07-23 00:00:00+05:30,2023-01-25 00:00:00+05:30,438,2
61,"",CH62 2635 4N48 P75H QJH0 K,952.00,OnlineBanking,2022-09-10 00:00:00+05:30,2022-11-07 00:00:00+05:30,169,1
62,"",CZ05 4831 7894 6285 8111 2904,800.00,UPI,2023-03-06 00:00:00+05:30,2022-06-14 00:00:00+05:30,347,2
63,"",VG50 HMTG 8312 2436 8080 7182,999.00,OnlineBanking,2023-02-01 00:00:00+05:30,2022-09-13 00:00:00+05:30,175,5
64,"",MK16 983J E8WT NBYX T89,275.00,DebitCard,2022-04-01 00:00:00+05:30,2023-03-04 00:00:00+05:30,323,2
65,"",FR60 9910 2117 347U K3KU 5V3U U68,819.00,OnlineBanking,2023-02-16 00:00:00+05:30,2022-10-01 00:00:00+05:30,817,5
66,"",VG11 UGIY 8857 3053 7852 9218,683.00,OnlineBanking,2022-10-13 00:00:00+05:30,2022-11-27 00:00:00+05:30,938,4
67,"",TN92 6795 8179 7078 8745 7645,8.00,OnlineBanking,2022-10-10 00:00:00+05:30,2022-07-09 00:00:00+05:30,99,1
68,"",CR77 9068 3087 0294 8300 6,795.00,CreditCard,2022-11-27 00:00:00+05:30,2023-01-07 00:00:00+05:30,350,1
69,"",TN50 1250 4845 7125 1420 1337,396.00,OnlineBanking,2022-03-30 00:00:00+05:30,2022-06-09 00:00:00+05:30,542,5
70,"",HU13 1373 8170 3109 5899 3665 5794,455.00,DebitCard,2022-05-09 00:00:00+05:30,2022-06-11 00:00:00+05:30,894,1
71,"",CR23 5721 7566 8680 2614 6,57.00,UPI,2023-03-01 00:00:00+05:30,2022-11-26 00:00:00+05:30,643,5
72,"",PL69 2759 4231 6815 0960 8709 1420,123.00,OnlineBanking,2023-01-06 00:00:00+05:30,2022-12-22 00:00:00+05:30,471,5
73,"",GE09 YU36 0970 6095 9080 57,97.00,OnlineBanking,2022-09-11 00:00:00+05:30,2022-06-11 00:00:00+05:30,180,1
74,"",HU97 5466 7860 2503 9822 4895 3427,666.00,DebitCard,2022-08-05 00:00:00+05:30,2022-08-30 00:00:00+05:30,58,3
75,"",KW84 ESDR R2XQ OS3E OKVD I7HF EV9T QR,29.00,DebitCard,2022-12-04 00:00:00+05:30,2022-06-10 00:00:00+05:30,796,2
76,"",FR02 9776 8697 53RO AI4Y PUSM L08,656.00,UPI,2022-12-08 00:00:00+05:30,2022-06-16 00:00:00+05:30,373,5
77,"",MC55 9524 8393 03QV TRQU M9NU 795,230.00,UPI,2022-04-12 00:00:00+05:30,2022-10-24 00:00:00+05:30,10,1
78,"",DE14 6120 9024 9580 2712 17,814.00,OnlineBanking,2022-04-27 00:00:00+05:30,2022-10-03 00:00:00+05:30,627,3
79,"",BG37 BIWK 1758 91PK FEBP OU,414.00,CreditCard,2022-09-01 00:00:00+05:30,2023-02-25 00:00:00+05:30,994,4
80,"",KZ53 204N EAKB 0QVN H7EL,345.00,OnlineBanking,2022-10-16 00:00:00+05:30,2023-01-25 00:00:00+05:30,4,5
81,"",IL57 6183 8270 4368 7916 152,859.00,OnlineBanking,2023-02-11 00:00:00+05:30,2022-10-26 00:00:00+05:30,902,3
82,"",CR40 4203 8797 5887 6674 5,870.00,OnlineBanking,2022-03-19 00:00:00+05:30,2022-05-22 00:00:00+05:30,523,1
83,"",FR82 3931 0443 105Q DBIM CEOK O84,404.00,OnlineBanking,2022-07-23 00:00:00+05:30,2022-08-04 00:00:00+05:30,689,2
84,"",BE90 6961 2472 1956,774.00,OnlineBanking,2022-12-21 00:00:00+05:30,2022-08-28 00:00:00+05:30,615,3
85,"",RO47 ZTHX JPQA P1IJ AHEA RYQX,642.00,CreditCard,2022-05-11 00:00:00+05:30,2023-02-05 00:00:00+05:30,836,2
86,"",SI04 3730 4094 3543 286,537.00,OnlineBanking,2022-07-21 00:00:00+05:30,2022-10-05 00:00:00+05:30,294,3
87,"",NO15 8113 5102 787,994.00,OnlineBanking,2022-08-06 00:00:00+05:30,2022-06-09 00:00:00+05:30,172,1
88,"",KW78 TJEX HIWB BEO3 WKQ9 RDK9 YV6F TT,617.00,CreditCard,2022-11-13 00:00:00+05:30,2022-08-30 00:00:00+05:30,574,5
89,"",FI29 8198 9021 6241 44,416.00,UPI,2023-02-09 00:00:00+05:30,2022-07-11 00:00:00+05:30,995,5
90,"",PL11 9222 3415 1595 0822 4379 6089,968.00,CreditCard,2022-10-02 00:00:00+05:30,2022-11-16 00:00:00+05:30,149,1
91,"",SI94 4482 2472 5388 845,576.00,OnlineBanking,2022-05-09 00:00:00+05:30,2022-08-26 00:00:00+05:30,571,3
92,"",GL51 0661 0023 9506 97,127.00,DebitCard,2022-03-28 00:00:00+05:30,2022-05-15 00:00:00+05:30,615,1
93,"",BA71 0781 1146 5888 0409,655.00,OnlineBanking,2022-04-14 00:00:00+05:30,2022-06-14 00:00:00+05:30,604,1
94,"",GT95 T636 9XXA K0FW B2CV KFWS 5BIK,158.00,UPI,2022-05-31 00:00:00+05:30,2022-10-09 00:00:00+05:30,455,4
95,"",GI98 ZKCN MJLS CNKH 7MZE BBL,335.00,UPI,2022-08-08 00:00:00+05:30,2022-09-25 00:00:00+05:30,559,5
96,"",LI08 9857 3MXN TNGT 0JNE Q,160.00,CreditCard,2022-04-27 00:00:00+05:30,2022-11-06 00:00:00+05:30,558,2
97,"",FR28 7637 8580 73YJ TTRH QPUR L92,98.00,DebitCard,2023-02-12 00:00:00+05:30,2022-06-20 00:00:00+05:30,660,2
98,"",AE85 7985 7791 0645 0069 314,710.00,CreditCard,2022-07-10 00:00:00+05:30,2022-09-30 00:00:00+05:30,377,3
99,"",GL27 7202 0094 0005 31,596.00,OnlineBanking,2023-01-03 00:00:00+05:30,2023-02-08 00:00:00+05:30,7,4
100,"",GR18 4483 421S FUS0 KN2Y 8ZPW O8W,93.00,OnlineBanking,2022-09-23 00:00:00+05:30,2022-09-28 00:00:00+05:30,545,3
101,"",MK59 327M 5D0B 2NTF Z78,719.00,OnlineBanking,2022-08-18 00:00:00+05:30,2022-12-30 00:00:00+05:30,684,4
102,"",MC29 6819 9565 915V RN2B 8XFT 309,564.00,OnlineBanking,2023-01-08 00:00:00+05:30,2022-11-27 00:00:00+05:30,586,2
103,"",FR91 6807 1187 74LU J1GL ZXCL Z11,572.00,CreditCard,2022-11-04 00:00:00+05:30,2022-07-12 00:00:00+05:30,516,4
104,"",TR79 5678 5ZNH RRKZ CS8T FNI4 EQ,891.00,OnlineBanking,2022-05-18 00:00:00+05:30,2023-02-03 00:00:00+05:30,808,1
105,"",EE56 8782 2323 6676 0249,255.00,OnlineBanking,2023-01-05 00:00:00+05:30,2023-02-14 00:00:00+05:30,630,2
107,"",RO98 TIQO BQ4G V2VO KY0Y FJGQ,877.00,UPI,2023-03-08 00:00:00+05:30,2022-07-08 00:00:00+05:30,961,4
108,"",GB12 QODR 9621 0989 1159 23,699.00,OnlineBanking,2022-12-12 00:00:00+05:30,2022-07-23 00:00:00+05:30,550,1
109,"",GE09 AP75 7321 0872 3634 50,665.00,DebitCard,2022-09-18 00:00:00+05:30,2022-10-31 00:00:00+05:30,618,3
110,"",FR57 4883 1820 90NK LYWY XFCD L96,546.00,DebitCard,2022-08-01 00:00:00+05:30,2022-12-07 00:00:00+05:30,254,4
111,"",GL24 7885 4806 0973 32,71.00,CreditCard,2022-07-12 00:00:00+05:30,2023-02-08 00:00:00+05:30,584,3
112,"",FR84 5129 5945 98RF 0AYW OEER U06,191.00,UPI,2022-03-22 00:00:00+05:30,2022-03-27 00:00:00+05:30,903,1
113,"",CR49 0442 0517 8942 6671 2,578.00,OnlineBanking,2022-07-15 00:00:00+05:30,2022-05-01 00:00:00+05:30,213,4
114,"",GT82 FOZW XLVD D5AL UXXW AKPH DGDX,140.00,CreditCard,2022-12-31 00:00:00+05:30,2022-09-15 00:00:00+05:30,577,2
115,"",BR32 0235 4950 8468 1340 5710 874T V,99.00,OnlineBanking,2022-10-07 00:00:00+05:30,2022-05-18 00:00:00+05:30,894,4
116,"",LU62 1309 KT6T ZVES DEUF,85.00,OnlineBanking,2022-12-04 00:00:00+05:30,2022-11-07 00:00:00+05:30,281,3
117,"",MC15 6716 0096 98BK 8KZT PPEX A35,612.00,OnlineBanking,2023-03-01 00:00:00+05:30,2022-08-15 00:00:00+05:30,802,2
118,"",FR56 6863 1862 40BK NYAJ YZY9 W49,92.00,CreditCard,2022-09-18 00:00:00+05:30,2022-05-14 00:00:00+05:30,354,2
119,"",TN87 5559 1804 4951 0879 9587,689.00,DebitCard,2022-08-09 00:00:00+05:30,2022-07-04 00:00:00+05:30,270,5
120,"",GE95 BV84 3144 2320 6597 22,182.00,OnlineBanking,2022-12-05 00:00:00+05:30,2023-02-02 00:00:00+05:30,730,3
121,"",NO11 3040 6961 837,653.00,OnlineBanking,2022-04-16 00:00:00+05:30,2023-02-20 00:00:00+05:30,383,5
122,"",KW89 NBBF U01W MLOJ WU3P XM6H YAAD VE,621.00,CreditCard,2023-02-04 00:00:00+05:30,2022-04-03 00:00:00+05:30,444,4
123,"",BG22 SEBM 0026 39YB 93FD EH,102.00,UPI,2022-07-29 00:00:00+05:30,2022-05-05 00:00:00+05:30,405,5
124,"",RS25 5701 3036 3098 9744 53,833.00,OnlineBanking,2022-05-10 00:00:00+05:30,2022-05-16 00:00:00+05:30,153,5
125,"",FR28 3933 9234 51LQ F65L VR8N C03,162.00,UPI,2022-12-09 00:00:00+05:30,2023-01-20 00:00:00+05:30,734,3
126,"",GB56 RZDD 5635 0056 2472 50,131.00,DebitCard,2022-08-09 00:00:00+05:30,2022-10-31 00:00:00+05:30,609,5
127,"",MU67 MPIE 9070 4411 1379 8695 419R TQ,633.00,DebitCard,2023-01-16 00:00:00+05:30,2022-04-01 00:00:00+05:30,859,2
128,"",GI66 TJJW AFBR FMIA MMZ7 UGH,927.00,OnlineBanking,2022-10-08 00:00:00+05:30,2022-04-14 00:00:00+05:30,302,1
129,"",CY53 5823 7396 KPAA IZAI G38F OQYL,994.00,CreditCard,2022-06-13 00:00:00+05:30,2022-04-26 00:00:00+05:30,48,3
130,"",LB33 6280 U2U6 XMZ6 FLEV ITW3 1H0J,952.00,OnlineBanking,2022-07-22 00:00:00+05:30,2022-11-29 00:00:00+05:30,241,5
131,"",KZ93 749H A47P X9Q4 FKYV,238.00,UPI,2022-06-07 00:00:00+05:30,2023-02-21 00:00:00+05:30,179,4
132,"",FR13 2504 3961 081U LUDB E5DX S12,101.00,UPI,2022-09-02 00:00:00+05:30,2023-01-24 00:00:00+05:30,716,2
133,"",ME48 9436 4891 6497 2895 29,857.00,OnlineBanking,2022-10-10 00:00:00+05:30,2023-01-22 00:00:00+05:30,467,4
134,"",SI12 2738 1690 3797 542,904.00,OnlineBanking,2022-06-15 00:00:00+05:30,2022-05-23 00:00:00+05:30,928,5
135,"",SM69 H960 0033 740J XRH4 5LHU 029,372.00,CreditCard,2022-04-21 00:00:00+05:30,2023-02-24 00:00:00+05:30,726,5
136,"",TR43 2413 4VBS LFES MSVQ HNDH 2M,570.00,DebitCard,2022-12-31 00:00:00+05:30,2023-01-12 00:00:00+05:30,128,3
137,"",FR76 4779 2858 31EJ OUDV C93R M13,832.00,OnlineBanking,2022-10-24 00:00:00+05:30,2023-02-20 00:00:00+05:30,500,4
138,"",BH09 RTOL I78B DPAJ NJP5 GV,122.00,OnlineBanking,2022-06-22 00:00:00+05:30,2022-07-24 00:00:00+05:30,934,2
139,"",LU53 963C 2M3K BVLY M4UF,894.00,CreditCard,2022-09-25 00:00:00+05:30,2022-05-29 00:00:00+05:30,179,2
140,"",MC10 5150 9691 28JP DY0P HPJL X19,476.00,CreditCard,2022-06-24 00:00:00+05:30,2022-06-29 00:00:00+05:30,617,4
141,"",PS91 GJML D2H3 BFGY 7F3Q U3QS KFMH R,526.00,DebitCard,2022-07-19 00:00:00+05:30,2022-03-12 00:00:00+05:30,734,2
142,"",FR08 0573 6127 62KX LITH R80Y M12,679.00,OnlineBanking,2023-01-17 00:00:00+05:30,2022-03-27 00:00:00+05:30,655,5
143,"",MK73 376P XHNI BKDF Q95,954.00,OnlineBanking,2023-03-07 00:00:00+05:30,2023-03-08 00:00:00+05:30,203,3
144,"",BE35 4270 2698 6647,541.00,OnlineBanking,2022-08-19 00:00:00+05:30,2022-07-16 00:00:00+05:30,945,4
145,"",DK19 4850 8307 5431 57,846.00,DebitCard,2023-02-02 00:00:00+05:30,2022-04-15 00:00:00+05:30,560,5
146,"",EE07 2906 2692 6148 9640,779.00,OnlineBanking,2022-10-17 00:00:00+05:30,2022-09-27 00:00:00+05:30,26,3
147,"",TR94 2753 1AVS ILAU IT8T OKBO W6,201.00,DebitCard,2023-02-10 00:00:00+05:30,2022-07-14 00:00:00+05:30,181,4
148,"",CY78 8149 8495 TMGC QZJC TUU5 LXDV,969.00,OnlineBanking,2022-06-12 00:00:00+05:30,2022-10-03 00:00:00+05:30,666,4
149,"",BR09 7618 2077 2357 7168 9550 398E U,919.00,OnlineBanking,2022-05-08 00:00:00+05:30,2022-10-29 00:00:00+05:30,9,5
150,"",RS35 0977 8401 9681 0114 14,31.00,CreditCard,2022-10-09 00:00:00+05:30,2023-02-03 00:00:00+05:30,203,2
151,"",FR81 7345 6270 90GD QXPV JUKH E59,250.00,OnlineBanking,2022-10-30 00:00:00+05:30,2022-08-21 00:00:00+05:30,950,2
152,"",PT55 9193 4773 9545 8411 0590 9,977.00,OnlineBanking,2022-07-19 00:00:00+05:30,2023-01-12 00:00:00+05:30,126,1
153,"",MK63 821D DRMO PEFW W20,297.00,OnlineBanking,2022-12-26 00:00:00+05:30,2022-07-20 00:00:00+05:30,687,1
154,"",FR44 7890 3159 47OC PXJV ATSZ N46,987.00,DebitCard,2022-03-22 00:00:00+05:30,2022-03-29 00:00:00+05:30,166,3
155,"",PK94 CKJI HFLF MZ4U BRK1 FC5K,385.00,CreditCard,2022-07-28 00:00:00+05:30,2022-10-07 00:00:00+05:30,536,4
156,"",LI03 7765 6HI1 U1OM IKJR P,869.00,OnlineBanking,2022-12-11 00:00:00+05:30,2022-08-14 00:00:00+05:30,38,2
157,"",TN94 4164 3787 8774 1498 1667,493.00,OnlineBanking,2022-12-17 00:00:00+05:30,2023-02-01 00:00:00+05:30,361,3
158,"",BH20 BWJZ BCES JSNX QZYK AI,846.00,DebitCard,2022-06-11 00:00:00+05:30,2022-07-22 00:00:00+05:30,276,5
159,"",AZ12 KGEB CUJY O7U4 OIDV ZZ7A LW3T,575.00,CreditCard,2023-01-12 00:00:00+05:30,2022-06-29 00:00:00+05:30,150,2
160,"",FR02 8826 3727 312O ZOFR PBT4 651,817.00,OnlineBanking,2023-01-01 00:00:00+05:30,2022-11-18 00:00:00+05:30,925,3
161,"",IE84 APNJ 3386 5632 8502 12,76.00,OnlineBanking,2023-02-13 00:00:00+05:30,2022-08-21 00:00:00+05:30,664,2
162,"",DK71 8387 1016 4356 88,416.00,OnlineBanking,2022-10-24 00:00:00+05:30,2022-05-17 00:00:00+05:30,423,1
163,"",EE62 0532 1543 0929 8400,388.00,DebitCard,2023-01-27 00:00:00+05:30,2023-01-17 00:00:00+05:30,249,1
164,"",FR05 5645 2019 07GN MOIT AY3I C63,121.00,OnlineBanking,2022-12-05 00:00:00+05:30,2022-05-26 00:00:00+05:30,470,3
165,"",RS36 8057 5163 9890 5225 92,896.00,CreditCard,2022-08-19 00:00:00+05:30,2022-11-06 00:00:00+05:30,909,5
166,"",MT88 CXCB 1417 19OO IYPN O8OT FGN8 S4B,377.00,OnlineBanking,2022-08-02 00:00:00+05:30,2023-02-18 00:00:00+05:30,19,3
167,"",HU11 1477 3542 3787 1286 4961 0126,822.00,OnlineBanking,2022-09-15 00:00:00+05:30,2022-07-14 00:00:00+05:30,21,4
168,"",DO72 MKXN 6455 2201 9944 1635 7816,227.00,UPI,2022-12-05 00:00:00+05:30,2023-03-04 00:00:00+05:30,677,2
169,"",FR39 8100 6560 29HV KRRJ FZ3L F84,787.00,CreditCard,2023-01-25 00:00:00+05:30,2022-07-17 00:00:00+05:30,832,3
170,"",FR65 8695 6268 01SU VFKS JCEF J08,806.00,DebitCard,2022-11-28 00:00:00+05:30,2022-11-20 00:00:00+05:30,609,1
171,"",LB16 4913 WBRY MSDX 1UAQ TVCF GZZ0,198.00,DebitCard,2022-06-25 00:00:00+05:30,2022-05-03 00:00:00+05:30,369,4
172,"",GT80 9I3K W1SB C53V IATG IRAS 2WOK,585.00,OnlineBanking,2022-10-09 00:00:00+05:30,2022-03-12 00:00:00+05:30,728,5
173,"",SI64 1539 3945 8089 438,870.00,DebitCard,2022-09-12 00:00:00+05:30,2022-11-01 00:00:00+05:30,701,3
174,"",AD08 5271 8476 7MRC XTQK URBC,910.00,UPI,2023-03-05 00:00:00+05:30,2022-05-02 00:00:00+05:30,3,5
175,"",FR83 0632 5959 37JB KEOV WWA3 719,681.00,CreditCard,2023-02-06 00:00:00+05:30,2022-11-02 00:00:00+05:30,368,1
176,"",SM66 Y424 0128 668W LHHI PEA7 DSC,958.00,OnlineBanking,2022-08-09 00:00:00+05:30,2022-05-05 00:00:00+05:30,955,1
177,"",BH83 LHQX CJX4 ZBVP QFLT 3Y,120.00,UPI,2022-06-14 00:00:00+05:30,2022-07-12 00:00:00+05:30,749,3
178,"",GL16 5908 8330 9176 87,592.00,OnlineBanking,2022-03-27 00:00:00+05:30,2022-04-20 00:00:00+05:30,733,2
179,"",FR66 2758 9388 26RJ TGR6 CIMH Z08,392.00,UPI,2023-03-01 00:00:00+05:30,2022-11-13 00:00:00+05:30,401,2
180,"",LV64 ALHX JMBC VWAQ RV67 P,761.00,DebitCard,2022-06-20 00:00:00+05:30,2022-06-21 00:00:00+05:30,202,3
181,"",AL94 0067 3646 GQT3 6NDA OTKU QUGS,471.00,OnlineBanking,2022-11-09 00:00:00+05:30,2022-07-04 00:00:00+05:30,378,1
182,"",FR04 0172 9599 72KC SWK0 PHNF F04,253.00,OnlineBanking,2022-06-13 00:00:00+05:30,2022-10-15 00:00:00+05:30,839,1
183,"",FR81 2298 3263 76VF MNBD YUSJ 929,823.00,OnlineBanking,2022-09-14 00:00:00+05:30,2023-01-24 00:00:00+05:30,977,2
184,"",SE49 4115 0181 9670 3330 7965,386.00,DebitCard,2022-04-11 00:00:00+05:30,2022-12-04 00:00:00+05:30,524,2
185,"",BA71 0466 7875 8765 5392,123.00,UPI,2022-04-14 00:00:00+05:30,2022-05-11 00:00:00+05:30,92,5
186,"",MU19 UCGF 6896 8270 8589 1824 564D NJ,784.00,DebitCard,2023-03-06 00:00:00+05:30,2022-07-17 00:00:00+05:30,988,4
